filename,av_cov,stdev,Group,Collection
23442Pal_M19_S39_cov.txt,5.45332,7.73183,Monterey,New
23442Pal_M20_S40_cov.txt,5.64568,8.42052,Monterey,New
23442Pal_M21_S41_cov.txt,6.23389,10.585,Monterey,New
23442Pal_M22_S42_cov.txt,6.4074,9.15108,Monterey,New
23442Pal_M23_S43_cov.txt,9.18661,15.0093,Monterey,New
23442Pal_M24_S44_cov.txt,6.4865,11.3984,Monterey,New
23442Pal_M25_S45_cov.txt,8.51624,12.7301,Monterey,New
23442Pal_M26_S46_cov.txt,5.96279,7.64148,Monterey,New
23442Pal_M27_S47_cov.txt,4.82188,6.24129,Monterey,New
23442Pal_M28_S48_cov.txt,4.80945,6.49185,Monterey,New
23442Pal_M2_S22_cov.txt,4.28451,6.28823,Monterey,New
23442Pal_M3_S23_cov.txt,5.44257,7.54588,Monterey,New
23442Pal_M4_S24_cov.txt,5.53488,7.66309,Monterey,New
23442Pal_M5_S25_cov.txt,4.42715,5.91229,Monterey,New
23442Pal_M6_S26_cov.txt,6.08437,8.55912,Monterey,New
23442Pal_M7_S27_cov.txt,5.67604,8.45184,Monterey,New
23442Pal_M8_S28_cov.txt,4.84105,6.81059,Monterey,New
23442Pal_M9_S29_cov.txt,6.86552,11.3966,Monterey,New
23442Pal_N10_S119_cov.txt,3.64757,16.5307,Fort Bragg (AQ),Aquarium
23442Pal_N1_S110_cov.txt,4.30198,19.666,Fort Bragg (AQ),Aquarium
23442Pal_N2_S111_cov.txt,3.78758,15.3585,Fort Bragg (AQ),Aquarium
23442Pal_N3_S112_cov.txt,3.72227,17.1004,Fort Bragg (AQ),Aquarium
23442Pal_N4_S113_cov.txt,3.93755,14.4585,Fort Bragg (AQ),Aquarium
23442Pal_N5_S114_cov.txt,4.78746,22.6062,Fort Bragg (AQ),Aquarium
23442Pal_N6_S115_cov.txt,6.22336,37.9237,Fort Bragg (AQ),Aquarium
23442Pal_N7_S116_cov.txt,6.03192,34.0835,Fort Bragg (AQ),Aquarium
23442Pal_N8_S117_cov.txt,8.61818,56.2102,Fort Bragg (AQ),Aquarium
23442Pal_N9_S118_cov.txt,8.59838,57.0073,Fort Bragg (AQ),Aquarium
23442Pal_S10_S129_cov.txt,5.00361,7.90531,Santa Barbara (AQ),Aquarium
23442Pal_S11_S130_cov.txt,4.79894,8.93308,Santa Barbara (AQ),Aquarium
23442Pal_S12_S131_cov.txt,5.93643,8.48618,Santa Barbara (AQ),Aquarium
23442Pal_S13_S132_cov.txt,5.62381,9.72473,Santa Barbara (AQ),Aquarium
23442Pal_S14_S133_cov.txt,4.33785,7.09804,Santa Barbara (AQ),Aquarium
