Id,group,Collection,
./bam_bais/ngm_dtas_rg_23442Pal_L3_S137.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L3_S137.bam
./bam_bais/ngm_dtas_rg_23442Pal_L4_S138.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L4_S138.bam
./bam_bais/ngm_dtas_rg_23442Pal_L5_S139.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L5_S139.bam
./bam_bais/ngm_dtas_rg_23442Pal_L6_S140.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L6_S140.bam
./bam_bais/ngm_dtas_rg_23442Pal_L7_S141.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L7_S141.bam
./bam_bais/ngm_dtas_rg_23442Pal_L8_S142.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L8_S142.bam
./bam_bais/ngm_dtas_rg_23442Pal_L9_S143.bam,LA,Aquarium,./bam_bais/ngm_dtas_rg_23442Pal_L9_S143.bam
./bam_bais/ngm_dtas_rg_23442Pal_M10_S30.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M10_S30.bam
./bam_bais/ngm_dtas_rg_23442Pal_M11_S31.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M11_S31.bam
./bam_bais/ngm_dtas_rg_23442Pal_M12_S32.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M12_S32.bam
./bam_bais/ngm_dtas_rg_23442Pal_M13_S33.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M13_S33.bam
./bam_bais/ngm_dtas_rg_23442Pal_M14_S34.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M14_S34.bam
./bam_bais/ngm_dtas_rg_23442Pal_M15_S35.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M15_S35.bam
./bam_bais/ngm_dtas_rg_23442Pal_M16_S36.bam,Monterey,New,./bam_bais/ngm_dtas_rg_23442Pal_M16_S36.bam
