Id,group,Collection,
./bam_bais/ngm_dtas_rg_23442Pal_M20_S40.bam,Monterey,New,S105
./bam_bais/ngm_dtas_rg_23442Pal_M21_S41.bam,Monterey,New,S106
./bam_bais/ngm_dtas_rg_23442Pal_M22_S42.bam,Monterey,New,S107
./bam_bais/ngm_dtas_rg_23442Pal_M23_S43.bam,Monterey,New,S108
./bam_bais/ngm_dtas_rg_23442Pal_M24_S44.bam,Monterey,New,S109
./bam_bais/ngm_dtas_rg_23442Pal_M25_S45.bam,Monterey,New,S110
./bam_bais/ngm_dtas_rg_23442Pal_M26_S46.bam,Monterey,New,S111
./bam_bais/ngm_dtas_rg_23442Pal_M27_S47.bam,Monterey,New,S112
./bam_bais/ngm_dtas_rg_23442Pal_M28_S48.bam,Monterey,New,S113
./bam_bais/ngm_dtas_rg_23442Pal_M2_S22.bam,Monterey,New,S114
./bam_bais/ngm_dtas_rg_23442Pal_M3_S23.bam,Monterey,New,S115
./bam_bais/ngm_dtas_rg_23442Pal_M4_S24.bam,Monterey,New,S116
./bam_bais/ngm_dtas_rg_23442Pal_M5_S25.bam,Monterey,New,S117
./bam_bais/ngm_dtas_rg_23442Pal_M6_S26.bam,Monterey,New,S118
./bam_bais/ngm_dtas_rg_23442Pal_M7_S27.bam,Monterey,New,S119
./bam_bais/ngm_dtas_rg_23442Pal_M8_S28.bam,Monterey,New,S120
./bam_bais/ngm_dtas_rg_23442Pal_M9_S29.bam,Monterey,New,S121
./bam_bais/ngm_dtas_rg_23442Pal_N10_S119.bam,Fort Bragg,Aquarium,S122
./bam_bais/ngm_dtas_rg_23442Pal_N1_S110.bam,Fort Bragg,Aquarium,S123
./bam_bais/ngm_dtas_rg_23442Pal_N2_S111.bam,Fort Bragg,Aquarium,S124
./bam_bais/ngm_dtas_rg_23442Pal_N3_S112.bam,Fort Bragg,Aquarium,S125
./bam_bais/ngm_dtas_rg_23442Pal_N4_S113.bam,Fort Bragg,Aquarium,S126
./bam_bais/ngm_dtas_rg_23442Pal_N5_S114.bam,Fort Bragg,Aquarium,S127
./bam_bais/ngm_dtas_rg_23442Pal_N6_S115.bam,Fort Bragg,Aquarium,S128
./bam_bais/ngm_dtas_rg_23442Pal_N7_S116.bam,Fort Bragg,Aquarium,S129
./bam_bais/ngm_dtas_rg_23442Pal_N8_S117.bam,Fort Bragg,Aquarium,S130
./bam_bais/ngm_dtas_rg_23442Pal_N9_S118.bam,Fort Bragg,Aquarium,S131
./bam_bais/ngm_dtas_rg_23442Pal_P1_S108.bam,Pigeon,New,S132
./bam_bais/ngm_dtas_rg_23442Pal_P2_S109.bam,Pigeon,New,S133
./bam_bais/ngm_dtas_rg_23442Pal_S10_S129.bam,Santa Barbara,Aquarium,S134
./bam_bais/ngm_dtas_rg_23442Pal_S11_S130.bam,Santa Barbara,Aquarium,S135
./bam_bais/ngm_dtas_rg_23442Pal_S12_S131.bam,Santa Barbara,Aquarium,S136
./bam_bais/ngm_dtas_rg_23442Pal_S13_S132.bam,Santa Barbara,Aquarium,S137
./bam_bais/ngm_dtas_rg_23442Pal_S14_S133.bam,Santa Barbara,Aquarium,S138
./bam_bais/ngm_dtas_rg_23442Pal_S15_S134.bam,Santa Barbara,Aquarium,S139
./bam_bais/ngm_dtas_rg_23442Pal_S1_S120.bam,Santa Barbara,Aquarium,S140
./bam_bais/ngm_dtas_rg_23442Pal_S2_S121.bam,Santa Barbara,Aquarium,S141
./bam_bais/ngm_dtas_rg_23442Pal_S3_S122.bam,Santa Barbara,Aquarium,S142
./bam_bais/ngm_dtas_rg_23442Pal_S4_S123.bam,Santa Barbara,Aquarium,S143
./bam_bais/ngm_dtas_rg_23442Pal_S5_S124.bam,Santa Barbara,Aquarium,S144
./bam_bais/ngm_dtas_rg_23442Pal_S6_S125.bam,Santa Barbara,Aquarium,S145
./bam_bais/ngm_dtas_rg_23442Pal_S7_S126.bam,Santa Barbara,Aquarium,S146
./bam_bais/ngm_dtas_rg_23442Pal_S8_S127.bam,Santa Barbara,Aquarium,S147
./bam_bais/ngm_dtas_rg_23442Pal_S9_S128.bam,Santa Barbara,Aquarium,S148
./bam_bais/ngm_dtas_rg_23442Pal_SB-10_S19.bam,Santa Barbara,New,S149
./bam_bais/ngm_dtas_rg_23442Pal_SB-11_S20.bam,Santa Barbara,New,S150
./bam_bais/ngm_dtas_rg_23442Pal_SB-12_S21.bam,Santa Barbara,New,S151
./bam_bais/ngm_dtas_rg_23442Pal_SB-1_S11.bam,Santa Barbara,New,S152
./bam_bais/ngm_dtas_rg_23442Pal_SB-2_S12.bam,SB-R,New,S153
./bam_bais/ngm_dtas_rg_23442Pal_SB-3_S13.bam,Santa Barbara,New,S154
./bam_bais/ngm_dtas_rg_23442Pal_SB-5_S14.bam,SB-R,New,S155
./bam_bais/ngm_dtas_rg_23442Pal_SB-6_S15.bam,SB-R,New,S156
./bam_bais/ngm_dtas_rg_23442Pal_SB-7_S16.bam,Santa Barbara,New,S157
./bam_bais/ngm_dtas_rg_23442Pal_SB-8_S17.bam,SB-R,New,S158
./bam_bais/ngm_dtas_rg_23442Pal_SB-9_S18.bam,Santa Barbara,New,S159
./bam_bais/ngm_dtas_rg_23442Pal_T1_S182.bam,Fort Bragg,Historic,S160
./bam_bais/ngm_dtas_rg_23442Pal_T2_S184.bam,Fort Bragg,Historic,S161
./bam_bais/ngm_dtas_rg_23442Pal_T3_S185.bam,Fort Bragg,Historic,S162
./bam_bais/ngm_dtas_rg_23442Pal_U10_S106.bam,Ucluelet,New,S163
./bam_bais/ngm_dtas_rg_23442Pal_U11_S107.bam,Ucluelet,New,S164
./bam_bais/ngm_dtas_rg_23442Pal_U1_S97.bam,Ucluelet,New,S165
./bam_bais/ngm_dtas_rg_23442Pal_U2_S98.bam,Ucluelet,New,S166
./bam_bais/ngm_dtas_rg_23442Pal_U3_S99.bam,Ucluelet,New,S167
./bam_bais/ngm_dtas_rg_23442Pal_U4_S100.bam,Ucluelet,New,S168
./bam_bais/ngm_dtas_rg_23442Pal_U5_S101.bam,Ucluelet,New,S169
./bam_bais/ngm_dtas_rg_23442Pal_U6_S102.bam,Ucluelet,New,S170
./bam_bais/ngm_dtas_rg_23442Pal_U7_S103.bam,Ucluelet,New,S171
./bam_bais/ngm_dtas_rg_23442Pal_U8_S104.bam,Ucluelet,New,S172
./bam_bais/ngm_dtas_rg_23442Pal_U9_S105.bam,Ucluelet,New,S173
./bam_bais/ngm_dtas_rg_23442Pal_W10_S179.bam,Winter Harbor,Historic,S174
./bam_bais/ngm_dtas_rg_23442Pal_W11_S180.bam,Winter Harbor,Historic,S175
