0	1.44892419496166	12422.054514	0.032663	0.012003
5099.83629791895	1.44892419496166	12889.102269	0.033891	0.029733
10585.9626506024	1.61858897842278	11964.445762	0.031459	0.024429
16487.9901423877	1.61858897842278	12398.733021	0.032601	0.022740
22837.5487951807	3.85425949485214	5446.493290	0.014321	0.009618
29667.6145892662	3.85425949485214	5755.421813	0.015133	0.010053
37015.8743592552	5.05817888608981	4639.301099	0.012199	0.008180
44920.6879189485	5.05817888608981	4913.504122	0.012920	0.008804
53424.4529572837	5.92959271938664	4439.777414	0.011674	0.008102
62572.9320591457	5.92959271938664	4703.599045	0.012368	0.008793
72414.5797261774	6.50353629134721	4541.625260	0.011942	0.008719
83001.8883351588	6.50353629134721	4807.766781	0.012642	0.009514
94391.3881380066	6.93929704633078	4766.897652	0.012534	0.009706
106644.320240964	6.93929704633078	5039.654818	0.013251	0.010568
119825.290646221	7.48511008817087	4936.650465	0.012980	0.010624
134005.635147864	7.48511008817087	5212.896867	0.013707	0.011489
149260.054435926	8.23289091456736	5002.536547	0.013154	0.011253
165670.651971522	8.23289091456736	5277.921150	0.013878	0.012082
183324.915049288	9.0332987135816	5072.742215	0.013338	0.011807
202317.06075575	9.0332987135816	5346.945705	0.014059	0.012637
222748.708948521	9.70774499769989	5240.709070	0.013780	0.012589
244728.209277108	9.70774499769989	5515.934314	0.014504	0.013458
268373.333099671	10.2030913301205	5518.096719	0.014509	0.013691
293809.927524644	10.2030913301205	5795.560652	0.015239	0.014611
321174.607327492	10.5260675027382	5892.066419	0.015493	0.015108
350613.408992333	10.5260675027382	6170.644138	0.016225	0.016074
382282.463691128	10.6906916720701	6351.490035	0.016701	0.016823
416351.362179628	10.6906916720701	6627.109016	0.017425	0.017824
453001.808838992	10.734475698138	6871.019470	0.018067	0.018778
492430.313592552	10.734475698138	7135.805583	0.018763	0.019783
534846.172968237	10.708041075575	7408.831997	0.019481	0.020845
580476.180952903	10.708041075575	7650.838237	0.020117	0.021803
629564.628992333	10.6394914153341	7925.705944	0.020840	0.022886
682371.960032859	10.6394914153341	8129.218189	0.021375	0.023736
739182.171292442	10.5309264124863	8390.933700	0.022063	0.024785
800296.757447974	10.5309264124863	8536.538521	0.022446	0.025462
866042.786385542	10.3785639239869	8770.504205	0.023061	0.026425
936770.88026287	10.3785639239869	8835.236332	0.023231	0.026849
1012858.58040526	10.1870676956188	9015.892041	0.023706	0.027640
1094712.36624315	10.1870676956188	8974.744998	0.023598	0.027726
1182769.00127054	9.9686724890471	9066.558571	0.023840	0.028224
1277498.22496166	9.9686724890471	8896.183541	0.023392	0.027886
1379406.79064622	9.73686480722892	8862.931255	0.023304	0.027967
1489037.11955093	9.73686480722892	8547.363440	0.022474	0.027143
1606975.37654984	9.50294397075575	8362.653651	0.021989	0.026712
1733851.47016429	9.50294397075575	7900.138663	0.020773	0.025383
1870341.74447974	9.27596154972618	7556.419793	0.019869	0.024404
2017175.03595838	9.27596154972618	6965.618715	0.018315	0.022619
2175135.36535597	9.06486816736035	6480.049986	0.017039	0.021140
2345065.97559693	9.06486816736035	5803.150556	0.015259	0.019028
2527874.0426287	8.87922012814896	5220.351024	0.013726	0.017187
2724535.38627601	8.87922012814896	4519.682517	0.011884	0.014949
2936099.18109529	8.67899535969332	3926.262928	0.010324	0.013030
3163695.35914567	8.67899535969332	3264.039976	0.008582	0.010877
3408538.64786418	8.67899535969332	2660.538017	0.006996	0.008899
3671935.9728368	8.67899535969332	2123.065393	0.005582	0.007125
3955293.18759036	8.53733324030668	1678.731077	0.004414	0.005647
4260123.82232201	8.53733324030668	1269.808882	0.003339	0.004284
4588053.79475356	8.53733324030668	934.940954	0.002458	0.003158
4940834.19673603	8.53733324030668	668.680392	0.001758	0.002263
5320348.69702081	8.53733324030668	463.524278	0.001219	0.001572
5728621.61700986	8.53733324030668	310.672282	0.000817	0.001056
6167834.0822563	8.53733324030668	200.810037	0.000528	0.000683
